type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,134.35,60.8012,19.76,0.02,64.27,0.06,4.92
Forest fire,3,134.4069,60.819,19.76,0.02,64.27,0.06,4.92
Forest fire,3,129.7933,61.671,23.44,0.0,47.1,0.22,5.88
Forest fire,3,126.9751,61.3757,24.89,0.0,44.16,0.3,5.91
Forest fire,3,126.3755,61.5714,24.73,0.0,45.46,0.34,5.91
Natural fire,4,139.2106,53.6268,12.73,0.88,83.15,0.48,5.29
Natural fire,4,139.444,53.958,11.89,0.48,83.49,0.56,5.29
Natural fire,4,139.4387,53.9853,11.89,0.48,83.49,0.56,5.29
Forest fire,3,134.1579,61.0788,19.76,0.02,64.27,0.06,4.02
Forest fire,3,134.2627,61.1285,19.76,0.02,64.27,0.06,4.02
Forest fire,3,134.4479,61.1746,19.76,0.02,64.27,0.06,4.02
