type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,132.3041,62.4073,22.06,0.0,49.13,0.23,5.3
Forest fire,3,132.6599,61.0331,22.66,0.0,39.09,0.33,5.51
Natural fire,4,133.3782,60.4575,20.61,0.0,44.39,0.3,4.52
Natural fire,4,133.4844,60.4969,19.77,0.0,51.79,0.37,4.52
Natural fire,4,133.7916,60.3499,19.77,0.0,51.79,0.37,4.52
Natural fire,4,134.221,60.3632,19.37,0.0,57.74,0.44,4.82
Natural fire,4,134.2286,60.3835,19.37,0.0,57.74,0.44,4.82
Natural fire,4,134.0965,60.1973,18.79,0.0,59.61,0.4,4.82
Natural fire,4,133.1554,59.7019,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.0438,59.5629,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.1196,59.5615,18.86,0.0,58.74,0.39,4.78
Natural fire,4,132.5327,59.5328,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5135,59.5565,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.4237,59.5889,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.343,59.5213,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.387,59.49,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5658,59.4696,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5146,59.4284,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.1393,59.7479,18.56,0.0,60.68,0.32,4.78
Natural fire,4,132.0591,59.9708,20.15,0.0,46.69,0.22,4.78
Natural fire,4,132.1258,59.96,20.15,0.0,46.69,0.22,4.78
Natural fire,4,132.4985,60.1686,20.23,0.0,47.63,0.22,4.52
Natural fire,4,132.8305,59.9976,19.86,0.0,51.77,0.31,4.78
Natural fire,4,133.2416,59.9157,19.86,0.0,51.77,0.31,4.78
Natural fire,4,133.2559,59.882,19.86,0.0,51.77,0.31,4.78
Natural fire,4,133.5109,59.9836,19.12,0.0,57.71,0.4,4.78
Natural fire,4,133.6039,59.9902,19.12,0.0,57.71,0.4,4.78
Natural fire,4,133.1216,60.2913,20.61,0.0,44.39,0.3,4.52
Forest fire,3,126.3606,61.5491,24.08,0.0,51.11,0.13,5.43
Natural fire,4,129.5625,60.9891,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.6482,60.8428,22.18,0.0,40.06,0.21,5.55
Forest fire,3,124.2569,62.7961,23.88,0.0,49.58,0.34,5.38
Forest fire,3,128.1843,63.3756,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.1191,63.2196,23.58,0.0,52.24,0.28,5.01
Forest fire,3,131.1395,63.161,22.96,0.01,51.77,0.21,4.83
Forest fire,3,131.2249,63.1888,22.96,0.01,51.77,0.21,4.83
Controlled burn,5,95.6179,57.4934,23.67,1.24,62.06,0.22,5.72
Forest fire,3,96.1083,57.6455,24.2,1.53,59.03,0.21,6.38
Forest fire,3,96.1833,57.7425,24.2,1.53,59.03,0.21,6.38
Forest fire,3,96.3851,58.7135,21.82,1.48,78.58,0.2,6.27
Forest fire,3,96.2087,58.8018,20.58,2.13,85.27,0.03,6.27
Forest fire,3,95.1234,59.4633,19.78,1.05,85.96,0.07,4.91
Forest fire,3,133.0778,62.7373,22.18,0.0,48.98,0.27,5.3
Forest fire,3,132.4135,62.809,22.02,0.0,53.31,0.11,5.3
Forest fire,3,132.3464,62.4839,22.06,0.0,49.13,0.23,5.3
Forest fire,3,132.2848,62.4041,22.06,0.0,49.13,0.23,5.3
